var_id,tag_name,story_id,psr_idx,psr_style,is_footnote,text,permission
C_000516,story_02_ch02_rt02,u10a9,155,01 本文,False,社内の各部署との絡みが出てくるため、西郷は、林をサポートしながら、林の動きを興味深く観察した。 わからないことも多く、西郷に相談しにくるが、西郷の指示どおりに動くというより、与えられたミッションを全うするために、林は動いている。 上の指示を鵜呑みにせず、自分で考えながら仕事を進めることができるということだ。 動きながらも報告は怠らない。必要な報告を、必要なタイミングで、必要な先にもっていき、誰をも不安にさせない。 これは、関係者それぞれが、どういう状況にあるのかを把握できているということだ。 報告が早すぎると 『後でいいじゃないか、面倒くさい』 と思われるし、遅すぎると 『その後、一体どうなっているんだ？』 と心配される。 丁寧に地ならしをしなければいけない先には、言い出さなくとも、西郷に先に話をしておいてもらうなどの振り付けも自然にできる。,TEXT_ONLY_REPLACE
C_000517,story_02_ch02_rt02,u10a9,156,01 本文,False,『上をうまく使える若手は見所がある』 と普段から感じていた西郷は、林の仕事ぶりに一目おくようになってきた。,TEXT_ONLY_REPLACE
C_000518,story_02_ch02_rt02,u10a9,157,01 本文,False,「林さんが動きやすいだろうと思って、いつだったか、 『プロジェクト体制にしたほうがいいか？』 と聞いたんですが、 『まだクロージング前です。そんな時期に、新たな株主にかき回されると思ったら、皆さんはよい気持ちがしませんよね』 と言うんですよね。 米倉さんにも相談しましたが、 『林なりの考えがあるのでしょう。尊重してあげてください』 とのことでした」 と西郷は、寺田社長に報告する。,TEXT_ONLY_REPLACE
C_000519,story_02_ch02_rt02,u10a9,158,01 本文,False,現場に受け入れられた林さん,TEXT_ONLY_REPLACE
C_000520,story_02_ch02_rt02,u10a9,159,01 本文,False,「ウチの人たちも、林さんを受入れてくれているみたいだね」,TEXT_ONLY_REPLACE
C_000521,story_02_ch02_rt02,u10a9,160,01 本文,False,「そうなんです。 『独り立ちして事業運営できる事業運営体制を一刻も早く構築する』 というミッションでについて、社内の誰もがその必要性を理解していますので、各部署の現場から、何か言われる心配はありません。 ただ、現場にとってみると、自分たちの業務に踏み込まれるので、領域を侵害されたと感じますよね。 そういう心情に配慮して動けるんです」,TEXT_ONLY_REPLACE
C_000522,story_02_ch02_rt02,u10a9,161,01 本文,False,「そうか、まだ若いのに・・・スゴイね」,TEXT_ONLY_REPLACE
C_000523,story_02_ch02_rt02,u10a9,162,01 本文,False,「はい、 『今の自分ならフレッシュな目で、業務の必要性を判断できるから、業務の見直しも視野に入れましょうか』 と、林さんが言ってくれましてね。 せっかくなので、そういう視点からもみてもらっています」,TEXT_ONLY_REPLACE
C_000524,story_02_ch02_rt02,u10a9,163,01 本文,False,「そうか・・・でもそれこそ、業務に踏み込むことになるんじゃないの？」,TEXT_ONLY_REPLACE
C_000525,story_02_ch02_rt02,u10a9,164,01 本文,False,「それが、そう感じさせない動きができるんです。 私の目が届くところから始めようと思って、経営企画から着手してもらっています。 経営企画には、多くの管理資料がありますし、私の目が届く部署ですから。 部員にも、林さんに協力するよう指示してあります。 林さんは、部員から業務の概要を説明してもらったあと、その業務の必要性について、いろんな角度から質問するようです」,TEXT_ONLY_REPLACE
C_000526,story_02_ch02_rt02,u10a9,165,01 本文,False,「へ～え・・・」,TEXT_ONLY_REPLACE
C_000527,story_02_ch02_rt02,u10a9,166,01 本文,False,「それらの質問に、ウチの部員が即答できないことが多くて・・・だから私のところとか、その資料の提出先にまで聞きに行って、後日、林さんに回答するというサイクルが発生しているんです。 でもそれを何度か繰り返していると、部員は、前任者から引き継いだ仕事を 『単に作業としてやっていた』 ことに気がつくんです。 自分がやっている業務が、どう役にたっているかについて、これまで自分では考えていなかったということです」,TEXT_ONLY_REPLACE
C_000528,story_02_ch02_rt02,u10a9,167,01 本文,False,「そうか・・・」,TEXT_ONLY_REPLACE
C_000529,story_02_ch02_rt02,u10a9,168,01 本文,False,「おかげで、大手町に提出するためだけに作成していた資料とか、もはや誰も見ていない管理資料がけっこうあることがわかりました。 今後、そういった資料の作成業務はなくしていきます」,TEXT_ONLY_REPLACE
C_000530,story_02_ch02_rt02,u10a9,169,01 本文,False,「そうか。その代わりに、ジェインが必要とする資料があると思うが、それは、ジェインと確認する必要があるね」,TEXT_ONLY_REPLACE
C_000531,story_02_ch02_rt02,u10a9,170,01 本文,False,「はい、それも林さんを通じて、米倉さんに確認しています。 それから、今まで大手町に頼っていた業務のなかで、今後はこちらでやらなきゃいけない業務も明らかになっています。 その分が業務量の増加になりますが、全体としては、効率化になりそうです。 誰がどんな業務を担当しているかについて、林さんのところに情報が集まってくるので、業務フローに抜け漏れがないか、清流化できるかについても、確認しています」,TEXT_ONLY_REPLACE
C_000532,story_02_ch02_rt02,u10a9,171,01 本文,False,頼もしいという表情でうなずく寺田社長。,TEXT_ONLY_REPLACE
C_000533,story_02_ch02_rt02,u10a9,172,01 本文,False,林さんが与えた影響,TEXT_ONLY_REPLACE
C_000534,story_02_ch02_rt02,u10a9,173,01 本文,False,「林さんとのやり取りを通じて、ウチの部員には、意味のある仕事をするんだという、良い意味での『自我』が出てきています。 業務を実行するにあたっては、 『この業務は誰の何に役立っているのか』 をいちいち確認するようにもなってきました」,TEXT_ONLY_REPLACE
C_000535,story_02_ch02_rt02,u10a9,174,01 本文,False,「すごいね。業務の効率化というよりは、むしろ意識改革をやってくれているね」,TEXT_ONLY_REPLACE
C_000536,story_02_ch02_rt02,u10a9,175,01 本文,False,「そのとおりです。これまで受け身的な仕事をしてきた部員は、林さんの動きをみて、 『自分もそういう動きをしなきゃ』 と思うみたいです」,TEXT_ONLY_REPLACE
C_000537,story_02_ch02_rt02,u10a9,176,01 本文,False,林がもたらした影響を嬉しそうに語る西郷。,TEXT_ONLY_REPLACE
C_000538,story_02_ch02_rt02,u10a9,177,01 本文,False,「なるほど・・・最近、経営企画の若手の顔が明るいのもそういうことか。 一緒に動いている小杉にも良い経験になるね」,TEXT_ONLY_REPLACE
C_000539,story_02_ch02_rt02,u10a9,178,01 本文,False,「それはもう！ 小杉がいちばん変わりました。 小杉は、素直な性格ですが、やっぱり受け身的なところがあって・・・だから林さんの言うことを一旦は受けとめるだろうと、林さんにつけたんですが・・・でもその小杉が自分の頭で考えることをし始めているんです」,TEXT_ONLY_REPLACE
C_000540,story_02_ch02_rt02,u10a9,179,01 本文,False,「そうか」,TEXT_ONLY_REPLACE
C_000541,story_02_ch02_rt02,u10a9,180,01 本文,False,「そうそう、この間、小杉と立ち話をして、面白いことを聞かせてもらいました」,TEXT_ONLY_REPLACE
C_000542,story_02_ch02_rt02,u10a9,181,01 本文,False,「どんな？」,TEXT_ONLY_REPLACE
C_000543,story_02_ch02_rt02,u10a9,182,01 本文,False,「小杉が林さんに、 『どうやって、一を聞いて十を知るというスゴイ理解力を身につけたんですか？』 って聞いたらしいです」,TEXT_ONLY_REPLACE
C_000544,story_02_ch02_rt02,u10a9,183,01 本文,False,「へーぇ。そしたら？」,TEXT_ONLY_REPLACE
C_000545,story_02_ch02_rt02,u10a9,184,01 本文,False,「準備らしいです。ミーティングの前に、自分で入念な準備をしているらしいです。 わからないことがあったら、ChatGPT,TEXT_ONLY_REPLACE
